make,transmission,state,condition,odometer,auction_value,selling_price
nissan,automatic,ga,2.9,34702.0,12100.0,11000.0
honda,automatic,tn,4.4,40529.0,12350.0,13200.0
hyundai,automatic,nv,4.8,5609.0,16550.0,16000.0
ford,automatic,mi,3.9,40071.0,10450.0,10800.0
honda,automatic,tn,3.8,42179.0,,12600.0
toyota,manual,mo,5,1429.0,24800.0,25000.0
chevrolet,automatic,fl,4.9,15886.0,31400.0,31000.0
nissan,automatic,md,1,80386.0,6175.0,2900.0
bmw,automatic,ga,4.1,23080.0,43200.0,43000.0
nissan,automatic,ga,2.7,81569.0,9225.0,8500.0
toyota,automatic,fl,2.3,9361.0,,10900.0
honda,manual,nj,4.1,,16900.0,17300.0
nissan,automatic,,4.3,12833.0,16200.0,16600.0
ford,automatic,ny,4.6,37775.0,9850.0,9400.0
chrysler,automatic,pa,4.2,58188.0,11450.0,11700.0
chevrolet,automatic,nc,3.9,37908.0,14550.0,14200.0
dodge,automatic,pa,3,26884.0,29400.0,28300.0
ford,automatic,il,4.8,37511.0,14500.0,15000.0
nissan,automatic,il,2.5,34289.0,12000.0,12300.0
,automatic,ca,3.8,44317.0,7350.0,8200.0
nissan,automatic,ca,3.4,16293.0,9250.0,9700.0
chevrolet,automatic,mi,4.2,48161.0,9850.0,10000.0
toyota,automatic,md,4.4,36720.0,13950.0,13800.0
dodge,automatic,mn,3.3,95076.0,6575.0,7300.0
ford,automatic,fl,2.5,51292.0,21900.0,19400.0
dodge,automatic,fl,2.8,45650.0,13350.0,12800.0
,automatic,tx,4.9,13122.0,20200.0,20200.0
dodge,,ca,3.2,63296.0,11200.0,11100.0
,automatic,tx,4.5,10410.0,15050.0,15800.0
,automatic,,4,17119.0,17050.0,17000.0
toyota,,nj,3.6,29047.0,15000.0,14700.0
ford,automatic,,1.9,15678.0,14150.0,11400.0
honda,automatic,mn,4.1,14811.0,13450.0,14700.0
kia,automatic,ga,4.2,13675.0,12450.0,12500.0
toyota,automatic,fl,4.2,30449.0,13250.0,13600.0
ford,,mn,3.6,54114.0,23000.0,22000.0
,automatic,tn,2,,5575.0,4800.0
bmw,,oh,,248.0,40300.0,42000.0
hyundai,automatic,ca,4.9,10548.0,20800.0,24000.0
dodge,automatic,in,3.8,47917.0,13250.0,14100.0
ford,automatic,fl,4.5,,11600.0,13200.0
toyota,automatic,,4,26576.0,28400.0,30300.0
toyota,automatic,nj,2.6,21085.0,13250.0,12400.0
ford,,tn,3.8,36723.0,27800.0,27700.0
chevrolet,automatic,tx,4.1,50996.0,9675.0,10700.0
,automatic,in,4.8,40300.0,26500.0,26250.0
ford,automatic,ga,,40927.0,27500.0,27200.0
nissan,automatic,fl,4.7,17327.0,,11800.0
ford,automatic,mo,4.9,20242.0,14700.0,15600.0
honda,automatic,oh,4.1,,15500.0,17500.0
ford,automatic,la,4.2,35315.0,11450.0,12400.0
ford,automatic,nc,4.1,,11450.0,8900.0
bmw,,ga,2.6,22397.0,23600.0,19800.0
toyota,automatic,va,4.3,60741.0,18800.0,20800.0
dodge,automatic,fl,2.5,74163.0,7650.0,5800.0
,automatic,wi,3.9,51102.0,14800.0,14300.0
ford,automatic,va,3.5,52844.0,15650.0,17000.0
ford,automatic,ga,4.2,16031.0,,21700.0
ford,automatic,az,3.6,61348.0,13800.0,13000.0
honda,automatic,il,2.1,45046.0,11250.0,10300.0
ford,automatic,nj,4.6,25089.0,25100.0,26500.0
nissan,automatic,pa,3,93281.0,17650.0,17000.0
chevrolet,automatic,ca,4.1,12658.0,9550.0,9400.0
ford,automatic,ca,,60200.0,9275.0,9400.0
ford,automatic,fl,2.8,69011.0,9125.0,9200.0
nissan,automatic,ca,4.3,16088.0,13050.0,13900.0
dodge,automatic,ma,3.5,31616.0,21200.0,18600.0
,automatic,md,2,56616.0,11700.0,11000.0
hyundai,automatic,oh,4,30737.0,12200.0,11700.0
nissan,automatic,tn,,25883.0,13700.0,11800.0
,automatic,pa,,14339.0,14550.0,14900.0
ford,automatic,il,4.6,27507.0,21700.0,23900.0
nissan,automatic,ca,4,19210.0,11450.0,10750.0
ford,,nj,2.8,17312.0,15600.0,13200.0
toyota,automatic,mo,3.9,,14850.0,14800.0
dodge,automatic,nc,4.3,20226.0,,12300.0
chrysler,automatic,ca,,38986.0,10550.0,10800.0
ford,automatic,fl,2.6,80035.0,9225.0,8000.0
kia,automatic,fl,3.5,15713.0,,12100.0
ford,automatic,fl,2.6,55393.0,12300.0,11800.0
chrysler,automatic,fl,4,17645.0,16100.0,16400.0
,manual,pa,4.1,11018.0,26600.0,25000.0
ford,automatic,ga,,41804.0,,11000.0
chevrolet,,tx,3.8,111975.0,6875.0,7500.0
nissan,automatic,,1.9,,,18500.0
honda,automatic,va,2.9,49795.0,11800.0,12600.0
chevrolet,automatic,fl,4.7,,14700.0,14900.0
